id,comida_preferida,frecuencia_consumo,gasto_promedio,satisfaccion_producto,satisfaccion_servicio,tiempo_entrega,precio_percepcion,recomendaria_nps,volveria_comprar,calificacion_general
151,Pizza,Mensual,154,2,8,Rápido,Alto,6,Sí,5
152,Pollo Frito,Semanal,95,7,10,Aceptable,Alto,7,Sí,8
153,Sándwiches,Semanal,47,1,9,Rápido,Alto,10,Sí,7
154,Hamburguesas,Mensual,111,1,8,Rápido,Medio,6,No,5
155,Hamburguesas,Mensual,119,10,8,Aceptable,Bajo,4,Sí,7
156,Hamburguesas,Ocasional,119,7,8,Rápido,Medio,10,Sí,8
157,Hot Dogs,Mensual,62,9,10,Lento,Bajo,10,Sí,10
158,Tacos,Quincenal,27,6,4,Rápido,Alto,5,No,5
159,Pizza,Semanal,145,3,9,Aceptable,Alto,9,Sí,7
160,Pollo Frito,Quincenal,54,4,9,Aceptable,Bajo,9,Sí,7
161,Hamburguesas,Mensual,91,8,9,Rápido,Medio,9,Sí,9
162,Sándwiches,Mensual,49,6,10,Aceptable,Medio,10,Sí,9
163,Hamburguesas,Quincenal,55,9,9,Rápido,Medio,3,No,7
164,Hamburguesas,Ocasional,101,9,5,Rápido,Alto,9,Sí,8
165,Pizza,Quincenal,73,9,10,Rápido,Medio,10,Sí,10
166,Hamburguesas,Semanal,45,6,0,Aceptable,Medio,10,Sí,5
167,Hot Dogs,Semanal,38,10,7,Aceptable,Medio,9,Sí,9
168,Pollo Frito,Ocasional,37,5,9,Rápido,Medio,8,No,7
169,Hamburguesas,Diario,88,8,8,Aceptable,Bajo,2,No,6
170,Pollo Frito,Semanal,53,6,0,Rápido,Medio,6,No,4
171,Pollo Frito,Semanal,102,8,9,Rápido,Alto,7,Sí,8
172,Pizza,Semanal,92,5,0,Rápido,Medio,9,No,5
173,Pizza,Quincenal,141,6,1,Aceptable,Bajo,8,Sí,5
174,Tacos,Quincenal,86,8,9,Rápido,Medio,2,No,6
175,Hot Dogs,Mensual,40,10,7,Aceptable,Medio,10,Sí,9
176,Tacos,Semanal,70,9,1,Rápido,Alto,8,Sí,6
177,Hamburguesas,Quincenal,91,10,6,Aceptable,Medio,10,Sí,9
178,Shawarmas,Quincenal,40,9,2,Aceptable,Medio,8,Sí,6
179,Hamburguesas,Semanal,119,6,7,Rápido,Medio,9,Sí,7
180,Hamburguesas,Mensual,80,8,7,Aceptable,Bajo,8,Sí,8
181,Tacos,Quincenal,90,9,8,Rápido,Medio,10,Sí,9
182,Hot Dogs,Diario,24,5,8,Aceptable,Medio,6,Sí,6
183,Sándwiches,Semanal,34,8,7,Aceptable,Medio,7,Sí,7
184,Pizza,Mensual,108,7,10,Aceptable,Medio,3,No,7
185,Pollo Frito,Mensual,97,4,3,Lento,Medio,2,Sí,3
186,Pizza,Mensual,153,10,8,Aceptable,Medio,9,Sí,9
187,Hamburguesas,Semanal,116,4,6,Aceptable,Medio,5,Sí,5
188,Pollo Frito,Semanal,108,6,9,Aceptable,Bajo,8,Sí,8
189,Hamburguesas,Ocasional,96,7,9,Rápido,Alto,9,Sí,8
190,Pollo Frito,Quincenal,122,7,3,Aceptable,Medio,9,Sí,6
191,Tacos,Semanal,89,10,1,Rápido,Bajo,3,Sí,5
192,Sándwiches,Semanal,91,10,9,Rápido,Medio,5,No,8
193,Pollo Frito,Quincenal,56,8,8,Aceptable,Medio,4,No,7
194,Hot Dogs,Diario,22,10,9,Aceptable,Medio,5,Sí,8
195,Pollo Frito,Quincenal,115,8,8,Aceptable,Medio,6,Sí,7
196,Hamburguesas,Semanal,42,4,7,Aceptable,Medio,7,No,6
197,Tacos,Mensual,69,10,3,Rápido,Medio,6,Sí,6
198,Hamburguesas,Semanal,47,1,10,Rápido,Alto,9,No,7
199,Pizza,Semanal,118,9,4,Aceptable,Medio,4,No,6
200,Pizza,Ocasional,109,7,5,Rápido,Medio,8,Sí,7
201,Pollo Frito,Mensual,121,7,8,Rápido,Alto,9,Sí,8
202,Tacos,Mensual,71,1,1,Aceptable,Bajo,8,No,3
203,Pollo Frito,Mensual,70,9,8,Rápido,Bajo,8,Sí,8
204,Hamburguesas,Ocasional,106,10,9,Aceptable,Bajo,4,No,8
205,Pizza,Semanal,105,7,3,Rápido,Alto,10,Sí,7
206,Hamburguesas,Semanal,113,9,6,Aceptable,Medio,6,No,7
207,Hot Dogs,Semanal,63,3,7,Aceptable,Medio,6,Sí,5
208,Pollo Frito,Ocasional,109,8,9,Rápido,Medio,8,Sí,8
209,Pollo Frito,Mensual,53,9,5,Aceptable,Medio,8,Sí,7
210,Hamburguesas,Quincenal,87,8,7,Lento,Alto,9,Sí,8
211,Tacos,Semanal,42,7,8,Aceptable,Medio,10,Sí,8
212,Sándwiches,Quincenal,93,6,6,Aceptable,Medio,9,Sí,7
213,Tacos,Quincenal,49,10,5,Aceptable,Medio,6,No,7
214,Tacos,Quincenal,86,6,10,Rápido,Bajo,9,Sí,8
215,Tacos,Semanal,75,9,10,Rápido,Medio,9,Sí,9
216,Tacos,Semanal,81,8,9,Lento,Medio,5,No,7
217,Pizza,Quincenal,120,5,1,Aceptable,Bajo,10,Sí,5
218,Hamburguesas,Mensual,47,8,3,Lento,Bajo,10,Sí,7
219,Pollo Frito,Mensual,95,7,4,Rápido,Medio,10,Sí,7
220,Shawarmas,Semanal,59,8,9,Lento,Bajo,10,Sí,9
221,Shawarmas,Semanal,34,10,7,Lento,Alto,7,Sí,8
222,Shawarmas,Mensual,31,6,8,Rápido,Medio,10,Sí,8
223,Pollo Frito,Quincenal,52,9,7,Rápido,Medio,4,Sí,7
224,Pollo Frito,Mensual,36,9,9,Aceptable,Bajo,8,Sí,9
225,Hot Dogs,Mensual,72,7,6,Rápido,Alto,7,Sí,7
226,Pollo Frito,Ocasional,35,5,5,Rápido,Medio,9,No,6
227,Pizza,Mensual,133,5,8,Rápido,Medio,7,Sí,7
228,Shawarmas,Mensual,69,8,8,Rápido,Medio,10,Sí,9
229,Sándwiches,Quincenal,83,9,8,Aceptable,Medio,7,Sí,8
230,Pollo Frito,Mensual,62,9,8,Aceptable,Medio,8,Sí,8
231,Pollo Frito,Semanal,107,3,9,Aceptable,Bajo,10,Sí,7
232,Hamburguesas,Quincenal,49,8,9,Lento,Medio,7,Sí,8
233,Pizza,Semanal,98,7,1,Aceptable,Medio,7,Sí,5
234,Hamburguesas,Mensual,62,8,1,Aceptable,Bajo,6,Sí,5
235,Shawarmas,Ocasional,90,1,7,Rápido,Alto,9,No,6
236,Hamburguesas,Ocasional,83,6,8,Aceptable,Medio,8,Sí,7
237,Hamburguesas,Semanal,103,7,3,Aceptable,Medio,10,Sí,7
238,Sándwiches,Quincenal,94,7,6,Rápido,Medio,5,No,6
239,Sándwiches,Mensual,39,1,8,Rápido,Bajo,8,Sí,6
240,Pollo Frito,Quincenal,121,9,1,Rápido,Medio,9,Sí,6
241,Pizza,Mensual,52,3,10,Aceptable,Alto,5,No,6
242,Hot Dogs,Semanal,29,10,7,Rápido,Medio,7,Sí,8
243,Pollo Frito,Mensual,57,8,7,Lento,Alto,7,Sí,7
244,Tacos,Mensual,65,8,7,Aceptable,Medio,6,Sí,7
245,Hot Dogs,Semanal,65,3,7,Lento,Medio,1,No,4
246,Pizza,Semanal,71,6,2,Rápido,Medio,7,Sí,5
247,Hot Dogs,Semanal,44,8,8,Rápido,Alto,9,Sí,8
248,Tacos,Quincenal,86,4,10,Rápido,Medio,6,Sí,7
249,Tacos,Mensual,86,10,8,Rápido,Medio,9,Sí,9
250,Hamburguesas,Semanal,94,8,6,Aceptable,Alto,5,No,6
251,Tacos,Mensual,65,10,6,Aceptable,Medio,7,Sí,8
252,Pizza,Semanal,119,8,7,Rápido,Medio,4,No,6
253,Hamburguesas,Quincenal,78,5,9,Aceptable,Medio,10,No,8
254,Hamburguesas,Semanal,104,7,10,Aceptable,Bajo,8,Sí,8
255,Pizza,Mensual,149,8,9,Aceptable,Medio,7,Sí,8
256,Tacos,Diario,89,7,2,Lento,Alto,8,Sí,6
257,Pollo Frito,Diario,103,8,0,Rápido,Alto,7,Sí,5
258,Pizza,Mensual,131,7,10,Aceptable,Medio,4,Sí,7
259,Pollo Frito,Semanal,80,5,7,Aceptable,Medio,6,No,6
260,Tacos,Semanal,35,8,9,Rápido,Medio,9,Sí,9
261,Pollo Frito,Semanal,36,9,2,Aceptable,Medio,9,Sí,7
262,Sándwiches,Ocasional,92,10,5,Aceptable,Medio,10,Sí,8
263,Hamburguesas,Ocasional,70,10,8,Rápido,Medio,1,No,6
264,Pizza,Mensual,150,7,2,Aceptable,Alto,4,Sí,4
265,Tacos,Quincenal,74,9,3,Aceptable,Medio,10,Sí,7
266,Sándwiches,Semanal,80,5,2,Lento,Medio,8,No,5
267,Pollo Frito,Mensual,92,7,6,Rápido,Medio,10,Sí,8
268,Tacos,Semanal,62,9,9,Rápido,Alto,2,Sí,7
269,Pizza,Semanal,91,3,0,Aceptable,Bajo,6,No,3
270,Pizza,Quincenal,116,8,7,Aceptable,Medio,0,No,5
271,Hot Dogs,Mensual,20,6,6,Aceptable,Bajo,2,Sí,5
272,Hamburguesas,Semanal,73,5,3,Rápido,Medio,4,No,4
273,Pizza,Semanal,76,9,7,Aceptable,Bajo,8,Sí,8
274,Pizza,Semanal,152,8,9,Rápido,Alto,6,No,8
275,Pollo Frito,Quincenal,73,6,10,Rápido,Medio,4,No,7
276,Hamburguesas,Mensual,116,7,8,Rápido,Alto,5,No,7
277,Hamburguesas,Ocasional,60,8,8,Aceptable,Alto,8,Sí,8
278,Pollo Frito,Mensual,91,9,9,Aceptable,Bajo,2,No,7
279,Hamburguesas,Semanal,54,9,9,Aceptable,Medio,2,No,7
280,Shawarmas,Mensual,83,8,9,Rápido,Medio,6,Sí,8
281,Tacos,Semanal,30,8,8,Lento,Medio,8,Sí,8
282,Hot Dogs,Semanal,26,5,7,Rápido,Medio,7,Sí,6
283,Tacos,Quincenal,89,4,10,Rápido,Alto,7,No,7
284,Pizza,Ocasional,63,6,6,Aceptable,Medio,9,Sí,7
285,Pizza,Mensual,102,6,6,Rápido,Alto,9,Sí,7
286,Pollo Frito,Mensual,56,10,9,Aceptable,Medio,7,Sí,9
287,Hamburguesas,Quincenal,86,8,4,Rápido,Medio,8,Sí,7
288,Shawarmas,Quincenal,84,6,9,Aceptable,Alto,4,Sí,6
289,Pollo Frito,Semanal,60,7,5,Aceptable,Medio,9,Sí,7
290,Pollo Frito,Quincenal,110,3,6,Aceptable,Medio,7,Sí,5
291,Hamburguesas,Quincenal,45,8,6,Rápido,Medio,5,Sí,6
292,Pollo Frito,Quincenal,52,8,7,Aceptable,Alto,7,Sí,7
293,Sándwiches,Semanal,46,7,3,Aceptable,Alto,6,No,5
294,Sándwiches,Quincenal,49,9,10,Aceptable,Medio,7,Sí,9
295,Hamburguesas,Mensual,97,4,8,Rápido,Medio,9,Sí,7
296,Pollo Frito,Semanal,93,8,9,Aceptable,Medio,7,Sí,8
297,Hamburguesas,Quincenal,81,8,9,Rápido,Medio,9,Sí,9
298,Hamburguesas,Mensual,118,9,6,Rápido,Medio,10,Sí,8
299,Hot Dogs,Quincenal,27,9,5,Aceptable,Medio,9,Sí,8
300,Tacos,Quincenal,46,8,9,Aceptable,Medio,9,Sí,9
301,Pollo Frito,Quincenal,56,6,9,Lento,Medio,5,No,7
302,Shawarmas,Mensual,47,10,9,Lento,Alto,10,Sí,10
303,Pizza,Mensual,76,3,6,Aceptable,Medio,5,No,5
304,Hamburguesas,Quincenal,92,2,9,Aceptable,Medio,9,No,7
305,Sándwiches,Semanal,87,6,0,Aceptable,Medio,9,Sí,5
306,Hamburguesas,Mensual,80,9,9,Lento,Alto,7,Sí,8
307,Pollo Frito,Semanal,71,6,8,Aceptable,Medio,8,Sí,7
308,Tacos,Diario,37,8,9,Rápido,Bajo,0,Sí,6
309,Sándwiches,Semanal,41,10,6,Lento,Bajo,9,Sí,8
310,Hamburguesas,Semanal,120,10,4,Rápido,Medio,7,Sí,7
311,Pizza,Mensual,135,2,5,Aceptable,Medio,2,Sí,3
312,Pizza,Semanal,60,10,7,Rápido,Bajo,3,Sí,7
313,Hot Dogs,Semanal,43,10,3,Aceptable,Bajo,9,Sí,7
314,Sándwiches,Semanal,92,8,8,Aceptable,Medio,4,No,7
315,Pizza,Quincenal,132,7,5,Rápido,Bajo,10,Sí,7
316,Tacos,Semanal,79,6,3,Rápido,Medio,5,Sí,5
317,Tacos,Semanal,28,9,8,Aceptable,Medio,6,Sí,8
318,Pizza,Mensual,75,7,3,Aceptable,Medio,7,Sí,6
319,Sándwiches,Ocasional,65,3,9,Aceptable,Bajo,8,No,7
320,Pollo Frito,Ocasional,44,0,2,Lento,Alto,5,Sí,2
321,Hamburguesas,Semanal,99,9,7,Aceptable,Medio,7,Sí,8
322,Pizza,Semanal,55,7,4,Aceptable,Medio,9,Sí,7
323,Pollo Frito,Mensual,122,8,6,Lento,Medio,7,Sí,7
324,Hamburguesas,Ocasional,49,7,8,Rápido,Medio,6,Sí,7
325,Tacos,Semanal,69,7,9,Rápido,Bajo,9,Sí,8
326,Hot Dogs,Semanal,27,9,0,Rápido,Bajo,9,Sí,6
327,Tacos,Quincenal,34,7,7,Rápido,Medio,1,Sí,5
328,Pizza,Quincenal,137,3,9,Rápido,Medio,0,Sí,4
329,Hamburguesas,Semanal,39,8,10,Rápido,Medio,9,Sí,9
330,Hamburguesas,Mensual,69,9,8,Rápido,Alto,3,Sí,7
331,Sándwiches,Ocasional,33,9,9,Rápido,Bajo,9,Sí,9
332,Hamburguesas,Semanal,72,8,6,Aceptable,Medio,8,Sí,7
333,Pollo Frito,Mensual,60,9,8,Rápido,Alto,9,Sí,9
334,Pizza,Quincenal,126,9,9,Rápido,Medio,10,Sí,9
335,Hot Dogs,Mensual,26,4,10,Lento,Bajo,7,Sí,7
336,Hamburguesas,Diario,64,10,7,Rápido,Alto,9,Sí,9
337,Pizza,Semanal,62,8,7,Rápido,Medio,8,Sí,8
338,Pizza,Semanal,153,6,9,Aceptable,Medio,9,Sí,8
339,Hamburguesas,Semanal,60,3,9,Rápido,Medio,3,Sí,5
340,Hamburguesas,Quincenal,61,7,7,Rápido,Alto,9,Sí,8
341,Hamburguesas,Mensual,112,1,9,Aceptable,Alto,6,Sí,5
342,Hamburguesas,Diario,73,5,10,Lento,Medio,1,No,5
343,Pollo Frito,Semanal,48,9,3,Rápido,Alto,0,Sí,4
344,Hamburguesas,Quincenal,117,2,8,Rápido,Bajo,10,Sí,7
345,Shawarmas,Quincenal,46,2,9,Rápido,Medio,9,Sí,7
346,Pizza,Quincenal,150,9,7,Rápido,Medio,6,No,7
347,Pizza,Semanal,158,3,8,Aceptable,Alto,8,No,6
348,Pollo Frito,Semanal,84,3,4,Aceptable,Alto,10,Sí,6
349,Hot Dogs,Ocasional,70,9,7,Rápido,Medio,9,Sí,8
350,Hamburguesas,Semanal,38,6,5,Aceptable,Bajo,10,Sí,7
351,Sándwiches,Quincenal,54,10,3,Rápido,Alto,8,Sí,7
352,Shawarmas,Semanal,58,8,10,Rápido,Medio,6,Sí,8
353,Hot Dogs,Mensual,57,0,9,Aceptable,Medio,10,Sí,6
354,Sándwiches,Mensual,88,8,4,Rápido,Medio,1,Sí,4
355,Pollo Frito,Diario,113,4,3,Rápido,Bajo,9,No,5
356,Tacos,Semanal,39,9,9,Rápido,Alto,10,Sí,9
357,Hamburguesas,Semanal,73,6,10,Rápido,Medio,9,Sí,8
358,Pollo Frito,Semanal,125,10,8,Aceptable,Medio,10,Sí,9
359,Pollo Frito,Semanal,74,9,6,Lento,Alto,4,Sí,6
360,Hamburguesas,Ocasional,107,1,8,Aceptable,Bajo,10,Sí,6
361,Pollo Frito,Semanal,44,5,10,Aceptable,Medio,4,Sí,6
362,Tacos,Semanal,26,5,5,Aceptable,Medio,2,No,4
363,Pizza,Quincenal,98,10,10,Rápido,Medio,7,Sí,9
364,Pizza,Quincenal,155,8,9,Rápido,Alto,5,No,7
365,Hamburguesas,Semanal,48,2,4,Aceptable,Alto,6,Sí,4
366,Pizza,Quincenal,123,10,9,Aceptable,Medio,7,Sí,9
367,Hamburguesas,Semanal,77,4,4,Aceptable,Medio,8,No,5
368,Pizza,Semanal,115,9,4,Rápido,Alto,6,No,6
369,Pollo Frito,Quincenal,47,0,4,Aceptable,Bajo,6,Sí,3
370,Hot Dogs,Quincenal,62,5,8,Lento,Medio,6,No,6
371,Hamburguesas,Semanal,94,5,9,Aceptable,Medio,8,Sí,7
372,Pizza,Semanal,114,7,9,Aceptable,Alto,5,Sí,7
